Metric,Decision_Tree,XGBoost,Improvement
Test_R²,0.9108924355294664,0.9141042334882851,0.35259903733328934
Test_MAE,0.4066862080169058,0.4003136600502896,1.56694469617993
Test_RMSE,0.5096156764036327,0.5024320288401286,1.4096206015873032
Overfitting_Gap,0.0045892583998129,0.0005355070894977887,88.33129358068787
