Model,Train_R²,Test_R²,Test_MAE,Test_RMSE,Overfitting_Gap
Decision Tree,0.9154816939292796,0.9108924355294664,0.4066862080169058,0.5096156764036327,0.0045892583998129
XGBoost,0.9146397405777829,0.9141042334882851,0.4003136600502896,0.5024320288401286,0.0005355070894977887
