Metric,Value
Train_Accuracy,0.8467995173607729
Test_Accuracy,0.8371953595731287
Overfitting_Gap,0.009604157787644119
Test_Macro_Precision,0.8394928890903134
Test_Macro_Recall,0.8378055586760662
Test_Macro_F1,0.8385417021179892
